INFO     | 2023-04-19 16:34:59,951 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WGR614v10-V1.0.2.66_60.0.90NA.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,951 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WNDR3400v3-V1.0.1.38_1.0.68.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,951 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WNDAP330 Firmware Version 3.0.5.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,956 | Yasat.main_cli | [65/581 (36 success, 29 failure)] Extracted 61 ELF files from dataset/Netgear/WN3000RPv2-V1.0.0.88.zip
INFO     | 2023-04-19 16:34:59,957 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/NTV350_v2.0.0.10.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,957 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WNDR3700_WNDR37AV Firmware Version 1.0.16.98NA.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,958 | Yasat.main_cli | [66/581 (37 success, 29 failure)] Extracted 122 ELF files from dataset/Netgear/WNR2500-V1.0.0.34NA.zip
INFO     | 2023-04-19 16:34:59,963 | Yasat.main_cli | [72/581 (38 success, 34 failure)] Extracted 57 ELF files from dataset/Netgear/JWNR2000v3_JWNR2010v3_JWNR2000Tv3-v1.0.0.32.zip
INFO     | 2023-04-19 16:34:59,963 | Yasat.main_cli | [73/581 (39 success, 34 failure)] Extracted 77 ELF files from dataset/Netgear/WN3500RP-V1.0.0.28_1.0.66.zip
INFO     | 2023-04-19 16:34:59,964 | Yasat.main_cli | [74/581 (40 success, 34 failure)] Extracted 93 ELF files from dataset/Netgear/WNDR3300v2 Initial Firmware Version 1.0.0.26.zip
INFO     | 2023-04-19 16:34:59,966 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/CGD24G Firmware Version 4.4.8.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,966 | Yasat.main_cli | [78/581 (41 success, 37 failure)] Extracted 72 ELF files from dataset/Netgear/EX3700_EX3800-V1.0.0.90_1.0.59.zip
INFO     | 2023-04-19 16:34:59,967 | Yasat.main_cli | [79/581 (42 success, 37 failure)] Extracted 6 ELF files from dataset/Netgear/WNDAP330 Firmware Version 3.0.5.zip
INFO     | 2023-04-19 16:34:59,967 | Yasat.main_cli | [80/581 (43 success, 37 failure)] Extracted 374 ELF files from dataset/Netgear/D8500_V1.0.3.60_1.0.1.zip
INFO     | 2023-04-19 16:34:59,967 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/SXS30-V3.2.33.108-signed.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,967 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/XSM4556_V7.0.1.13.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,968 | Yasat.main_cli | [81/581 (44 success, 37 failure)] Extracted 80 ELF files from dataset/Netgear/WGR614v10-V1.0.2.66_60.0.90NA.zip
INFO     | 2023-04-19 16:34:59,968 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WBC502_firmware_V5.8.4.3.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,968 | Yasat.main_cli | [82/581 (45 success, 37 failure)] Extracted 107 ELF files from dataset/Netgear/GS724TPv2_GS724TPP_V2.0.6.3.zip
INFO     | 2023-04-19 16:34:59,968 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/GS308E_V1.00.10EN.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,968 | Yasat.main_cli | [83/581 (46 success, 37 failure)] Extracted 144 ELF files from dataset/Netgear/fvx538_v3.1.1-08.zip
INFO     | 2023-04-19 16:34:59,968 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/WNCE4004-V1.0.0.34.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,968 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/FR114W Firmware version 1.3 Release 05.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,968 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/RAX38v2-V1.0.5.106_2.0.70.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,968 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/MBR624GU Firmware Version 6.01.30.64 (All regions except North America).zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,969 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/R7350_V1.2.0.92.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,969 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/GS324Tv1_GS324TPv1_V1.0.0.34.zip.cache is available!!!
INFO     | 2023-04-19 16:34:59,969 | Yasat.main_cli | Lol! Extraction cache file tests_dev/tmp/Netgear/EAX12_EAX11v2_EAX15v2-V1.0.2.30.zip.cache is available!!!
