WARNING  | 2023-04-21 18:05:22,372 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/LTE5366-M608_V1.00(ABKA.0)C0.zip
WARNING  | 2023-04-21 18:05:22,387 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/LTE7461-M602_V2.00(ABQN.4)C0.zip
WARNING  | 2023-04-21 18:05:22,458 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1005HP_003.351-01-00972.zip
WARNING  | 2023-04-21 18:05:22,476 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XS1930-12HP_1.zip
WARNING  | 2023-04-21 18:05:22,492 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS2220-10HP_4.70(ABRP.6)C0.zip
WARNING  | 2023-04-21 18:05:22,506 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1200-5_002.351-01-00860.zip
WARNING  | 2023-04-21 18:05:22,517 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1900-24E_3.zip
WARNING  | 2023-04-21 18:05:22,535 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1900-10HP_007.214-01-00598.zip
WARNING  | 2023-04-21 18:05:22,549 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/PLA6456_V1.00(ABSU.5)C0_US.zip
WARNING  | 2023-04-21 18:05:22,561 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XGS1930-28HP_1.zip
WARNING  | 2023-04-21 18:05:22,583 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1900-24_2.70(AAHL.3)C0.zip
WARNING  | 2023-04-21 18:05:22,620 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/USG20-VPN_1.zip
WARNING  | 2023-04-21 18:05:22,672 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XGS3700-24HP_4.30(AAGD.0)C0.zip
WARNING  | 2023-04-21 18:05:22,684 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NSG50_1.zip
WARNING  | 2023-04-21 18:05:22,766 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/WAX620D-6E_6.50(ACCN.2)C0.zip
WARNING  | 2023-04-21 18:05:22,810 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/USG60W_1.zip
WARNING  | 2023-04-21 18:05:22,829 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/WAC5302D-S_1.zip
WARNING  | 2023-04-21 18:05:22,842 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XGS1930-28_4.70(ABHT.5)C0.zip
WARNING  | 2023-04-21 18:05:22,858 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NBG6615_V1.00(ABMV.5)C0.zip
WARNING  | 2023-04-21 18:05:22,872 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1900-8_008.214-01-00256.zip
WARNING  | 2023-04-21 18:05:22,886 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NXC2500_006.214-01-00216.zip
WARNING  | 2023-04-21 18:05:22,898 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/WAC6103D-I_002.351-01-00562.zip
WARNING  | 2023-04-21 18:05:22,913 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NWA1123ACv3_002.351-03-00499.zip
WARNING  | 2023-04-21 18:05:22,926 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/USG210_1.zip
WARNING  | 2023-04-21 18:05:22,935 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XGS4600-52F_8.zip
WARNING  | 2023-04-21 18:05:22,952 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS2220-50_003.214-01-01182.zip
WARNING  | 2023-04-21 18:05:22,965 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XGS3700-48_3.zip
WARNING  | 2023-04-21 18:05:22,980 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NWA5301-NJ_8.zip
WARNING  | 2023-04-21 18:05:22,995 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XGS-4526_4.00(BHN.1)C0.zip
WARNING  | 2023-04-21 18:05:23,048 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/VMG8825-T50K_V5.50(ABOM.8.2)C0.zip
WARNING  | 2023-04-21 18:05:23,070 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1350-12HP_1.zip
WARNING  | 2023-04-21 18:05:23,078 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/USG40W_2.zip
WARNING  | 2023-04-21 18:05:23,141 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/VPN2S_002.214-01-00820.zip
WARNING  | 2023-04-21 18:05:23,180 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XGS1930-52HP_4.70(ABHV.6)C0.zip
WARNING  | 2023-04-21 18:05:23,220 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/WAP6804_V1.00(ABKH.1)C0.zip
WARNING  | 2023-04-21 18:05:23,260 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NWA220AX-6E_6.50(ACCO.1)C0.zip
WARNING  | 2023-04-21 18:05:23,291 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XGS2210-28_4.70(AAZJ.0)C0.zip
WARNING  | 2023-04-21 18:05:23,304 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/LIC-SECRP_1.zip
WARNING  | 2023-04-21 18:05:23,316 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NSW200-28P_V3.00(ABFL.3)C0.zip
WARNING  | 2023-04-21 18:05:23,327 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/VMG1312-T20B_5.30(ABSB.5)C0.zip
WARNING  | 2023-04-21 18:05:23,345 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/LTE7240-M403_V2.00(ABMG.5)C0.zip
WARNING  | 2023-04-21 18:05:23,365 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1915-8_V4.70(ACAP.2)C0.zip
WARNING  | 2023-04-21 18:05:23,383 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/LTE7460-M608_V1.00(ABFR.5)C0.zip
WARNING  | 2023-04-21 18:05:23,394 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/ES1100-8P_3.zip
WARNING  | 2023-04-21 18:05:23,407 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/WAX610D_002.214-01-01215.zip
WARNING  | 2023-04-21 18:05:23,421 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XGS2210-52_3.zip
WARNING  | 2023-04-21 18:05:23,435 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/USG2200-VPN_006.214-01-00503.zip
WARNING  | 2023-04-21 18:05:23,451 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/USG1100_2.zip
WARNING  | 2023-04-21 18:05:23,472 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NWA110AX_6.50(ABTG.2)C0.zip
WARNING  | 2023-04-21 18:05:23,485 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/LTE3301-PLUS_V1.00(ABQU.4)C0.zip
WARNING  | 2023-04-21 18:05:23,507 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NBG6515_1.zip
WARNING  | 2023-04-21 18:05:23,520 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/USG40_007.214-01-00174.zip
WARNING  | 2023-04-21 18:05:23,539 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/VPN300_1.zip
WARNING  | 2023-04-21 18:05:23,553 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/LTE7480-M804_V1.00(ABRA.5)C0.zip
WARNING  | 2023-04-21 18:05:23,577 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/ATP700_2.zip
WARNING  | 2023-04-21 18:05:23,593 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/XGS4600-32F_4.70(ABBI.2)C0.zip
WARNING  | 2023-04-21 18:05:23,610 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/ES-2108-G_380ABL1C0.zip
WARNING  | 2023-04-21 18:05:23,629 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1900-8HP_2.60(AAHI.3)C0.zip
WARNING  | 2023-04-21 18:05:23,642 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/RGS100-5P_005.214-01-00671.zip
WARNING  | 2023-04-21 18:05:23,664 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NSG200_1.zip
WARNING  | 2023-04-21 18:05:23,682 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/PLA5456_V7.0.6.17.0926_(Windows).zip
WARNING  | 2023-04-21 18:05:23,732 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/HLA4205_001.351-01-00788.zip
WARNING  | 2023-04-21 18:05:23,752 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1100-10HP_4.zip
WARNING  | 2023-04-21 18:05:23,779 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/NXC5500_2.zip
WARNING  | 2023-04-21 18:05:23,861 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/SecuReporter_1.zip
WARNING  | 2023-04-21 18:05:23,875 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/Accessory_007.zip
WARNING  | 2023-04-21 18:05:23,891 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/WAX630S_6.50(ABZD.0)C0.zip
WARNING  | 2023-04-21 18:05:23,906 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/GS1900-24EP_2.60(ABTO.3)C0.zip
WARNING  | 2023-04-21 18:05:23,972 | Yasat.main_cli | Failed to extract ELF files from dataset/Zyxel/USG20W-VPN_008.214-01-00610.zip
